gene,log2fc,pval,-log10pval
GALK1,-0.01956251479442909,0.050195087883226026,1.299338781053968
ANTXR2,0.03936066092542325,3.177962620307486e-05,4.4978512153381
COL4A3BP,0.0469463485627008,1.895512097011783e-11,10.722273439594867
NDUFB1,-0.07140149211098792,8.56473976809956e-15,14.06728582814451
GCH1,-0.052164570038071935,2.193625061506223e-06,5.6588376008424515
PRDM8,0.03924787450158746,0.1409994699941891,0.850782519820022
PGM5P2,0.2877206888888411,2.490293991770208e-05,4.603749379222877
APOC4,-0.32758889713814443,0.0015758682024729935,2.802480107488739
REV3L,0.08006172112294818,2.1286391231955386e-15,14.671897960022147
KRTAP24-1,-0.04508724856850384,0.9823830448122562,0.007719141732244859
ZNF749,0.06090985036235543,1.3680472164771575e-05,4.863898913214139
RSPH6A,-0.46086927023932645,0.09633702931875582,1.0162067498667517
CTAGE6,0.11594282137032515,0.010632836279418367,1.9733508731814147
ZMPSTE24,0.0061067396519864335,0.242657103477681,0.6150069907447229
HERC4,-0.002684813478180832,0.622079249098987,0.20615428531881716
STON1-GTF2A1L,0.49204485717256297,0.0009289037900830409,3.0320292651234686
CASC1,0.12507783214148935,0.013842438030040587,1.8587874120653813
LOC282997,-0.06376657793435514,1.6805993029205583e-05,4.774535820929535
PPFIA1,0.021511664839522545,8.564418746821141e-06,5.06730210655885
NLRP10,1.2657877108839632,0.007654752477284288,2.1160688480078593
CALB2,0.0792785129745758,0.23498753806240397,0.6289551687675775
CRIP2,-0.010164665728155923,0.3992527647199493,0.3987520678044808
ISY1,-0.00598082023882437,0.21580210886842724,0.6659443156056293
FLJ39609,-0.5226323205314106,0.031762871512020355,1.4980802422193604
GNAO1,0.09248902107812039,0.0008132813922323551,3.08975916418486
ZNF586,-0.0063909673391900155,0.4930650861815712,0.3070957486664145
NDUFB11,-0.04928364858501697,3.988460503189774e-13,12.399194704310172
XKR4,0.29108352206111787,0.01641402925760845,1.7847847967927177
GPR45,0.0020834959431347074,0.9876655797872469,0.005390081159956492
ARPC5L,-0.02502870274005437,1.6042901849485312e-05,4.794717073506102
PCDHB8,0.05332004149215703,0.15971735411177407,0.7966478929691487
PIBF1,0.000465485355400566,0.9530810029049599,0.020870186854167583
PRR14,-0.00936156009165617,0.12083477907403048,0.9178080476185738
OR51L1,-0.6939351687616544,0.7454839911698998,0.12756167832932952
ZNF628,-0.014497128211642719,0.1871336187474624,0.7278481840395885
ABCG4,-0.17050008159102573,0.0034042810415651414,2.4679745937805606
PIRT,-1.1024482102818496,0.0005414762644404371,3.26642057587794
KIF4A,-0.03827778427029841,0.20021100655939073,0.6985120509495396
FOLR2,-0.0028179965276430904,0.891454067506914,0.04990102909232632
ZNF721,0.028739963851303403,9.99953149036831e-06,5.000020347591432
PAGE5,-0.301848654240414,0.3235267195928322,0.49008984577572334
MGC4473,-0.09161342876057266,0.5745459050573531,0.24067526633750083
CCNE2,-0.013187638159091946,0.5735264092109121,0.24144657931371447
TXN2,-0.03621695296893699,2.1530976706122709e-10,9.666936268901155
RBM15B,0.0011433930640024179,0.7950154394206849,0.09962443714214879
LIMS3-LOC440895,-0.0011560123532350678,0.9753131846295899,0.01085590479766978
FBXW2,0.024642458311006515,2.6176313919652387e-06,5.58209150969752
RNF151,-0.5799924811565078,0.0033266379617016275,2.4779944608656694
CYP17A1,-0.11493290295823799,0.29399687978572675,0.5316572787682239
OR5B17,-inf,,
